CHROMATOGRAM,Lactoferrin_M9,CHROMATOGRAM,IgY_M9-1,CHROMATOGRAM,IgY_M9-2,CHROMATOGRAM,IgY_M9-3
Lactoferrin_M9.raw,,IgY_M9_1.raw,,IgY_M9_2.raw,,IgY_M9_3.raw,
Data points: 929,,Data points: 922,,Data points: 921,,Data points: 923,
Time,--,Time,--,Time,--,0.021072,0.004774311
9.32579,0.004131949,9.317577,0.154033588,9.320525,0.549794435,8.42196,0
9.429148,0.007952553,9.421078,0.208136206,9.424073,0.581782294,8.51435,0
9.532562,0.003146574,9.524412,0.161390862,9.527432,0.422983649,8.606505,9.09E-04
9.635855,0.00526582,9.627838,0.157211077,9.630988,0.633756367,8.699025,0
9.739207,0.0047712,9.731183,0.225047273,9.734498,0.624829522,8.791315,6.82E-04
9.8427,0.006581309,9.834712,0.267527532,9.837863,0.793447696,8.88371,0.001364089
9.946047,0.005600902,9.938007,0.215216249,9.941415,0.656123071,8.976012,0
10.0496,0.007034526,10.041585,0.183036174,10.044778,0.898536493,9.068402,0.002728178
10.152935,0.004037,10.145093,0.260319536,10.148383,0.757889099,9.160683,0
10.256503,0.004501257,10.248427,0.30702223,10.251763,0.820624978,9.253215,0.006820445
10.359975,0.006663561,10.351917,0.294610829,10.355347,0.659743403,9.345732,0.003637571
10.46331,0.006343936,10.455283,0.098160959,10.45886,0.61967179,9.438005,0.002273482
10.566813,0.007410459,10.55894,0.333742995,10.562193,0.643327928,9.530398,0
10.670162,0.006740294,10.662445,0.199286153,10.665785,0.380085202,9.62268,0.001818785
10.773495,0.004182736,10.765803,0.260063631,10.76926,0.446937348,9.715162,0.004546963
10.877017,0.006670738,10.86931,0.249998027,10.872603,0.48462847,9.807547,4.55E-04
10.980335,0.006493536,10.972785,0.240316282,10.976127,0.889857617,9.899835,0.002955526
11.083883,0.006604494,11.076122,0.184528954,11.079487,0.745540297,9.99213,0.002728178
11.187368,0.008002235,11.179508,0.258101691,11.183058,0.687565402,10.084523,9.09E-04
11.290695,0.005950338,11.282843,0.208477413,11.286368,0.791612734,10.176802,0.001364089
11.394247,0.008443308,11.386395,0.232319245,11.38995,0.920456856,10.269265,0
11.497737,0.006631543,11.489742,0.235091551,11.493455,0.620614068,10.360495,0.003637571
11.6011,0.004065705,11.593297,0.313526486,11.59682,0.594428657,10.452893,0.003182874
11.704587,0.005631816,11.69678,0.146249806,11.700308,0.505507367,10.54532,9.09E-04
11.807893,0.004416245,11.800117,0.213595517,11.803673,0.624283993,10.63784,0.003637571
11.911383,0.005258643,11.903452,0.26198292,11.907053,0.651213307,10.730103,0.001591437
12.014733,0.006940681,12.00713,0.326513674,12.010565,0.578509118,10.822398,0
12.118315,0.005478904,12.110632,0.186341616,12.113922,0.815368059,10.914803,0.0061384
12.22179,0.006601182,12.21384,0.258250969,12.2174,0.587733524,11.006335,6.82E-04
12.325132,0.006666321,12.31734,0.213232984,12.32078,0.594478251,11.098635,0.004092267
12.428598,0.00545627,12.420692,0.257888437,12.424363,0.949865849,11.191148,0
12.531963,0.008637623,12.524273,0.144693049,12.527858,0.566854626,11.283678,0.00500166
12.635422,0.006313574,12.627507,0.249571519,12.631207,0.518451292,11.376077,0.0061384
12.738767,0.005505401,12.730712,0.334446734,12.734772,0.684391412,11.468368,0.005229008
12.842208,0.006092762,12.834245,0.403967639,12.838125,0.684738567,11.56076,0
12.945543,0.006771759,12.937588,0.10982597,12.941673,0.516665923,11.653007,0.001364089
13.049093,0.006712692,13.041122,0.155355765,13.045175,0.600379887,11.745528,0.004092267
13.152475,0.00668233,13.144467,0.19743084,13.148512,0.526683826,11.837815,0.002046133
13.255953,0.007134995,13.24782,0.066151487,13.252065,0.442077178,11.930208,0.002046133
13.359448,0.005555636,13.351382,0.138679278,13.355562,0.396153522,12.022488,0
13.462803,0.007599253,13.454722,0.176638545,13.458918,0.482247978,12.114993,6.82E-04
13.566325,0.006188263,13.558172,0.211079116,13.56249,0.509474854,12.207283,0.008184534
13.6698,0.007645072,13.66164,0.26053279,13.66588,0.571070081,12.299573,0.003864919
13.773165,0.007071512,13.764977,0.218926874,13.769253,0.757541944,12.392085,0.002955526
13.876707,0.006092762,13.868497,0.280066885,13.872743,0.581534326,12.484478,0.003182874
13.979885,0.006767895,13.971862,0.219204105,13.976195,0.482595133,12.576743,0.007502489
14.08338,0.005390579,14.07542,0.273711907,14.079753,0.414602334,12.669258,0.00500166
14.186868,0.005090274,14.178738,0.274991433,14.18311,0.789381023,12.761657,0.004774311
14.290215,0.005140509,14.282305,0.378078566,14.28658,0.541859462,12.853932,0.003182874
14.393792,0.00643226,14.385638,0.151730441,14.38991,0.819831481,12.946452,0
14.497288,0.007847667,14.488995,0.313206605,14.4935,0.955916266,13.03898,0.008411882
14.600637,0.007567235,14.592563,0.349928997,14.596983,0.682506856,13.131367,0.008184534
14.704042,0.004605039,14.69607,0.31271612,14.700472,0.633905147,13.223648,0.004319615
14.807387,0.006775623,14.799408,0.313867693,14.803908,0.542652959,13.316025,0.003182874
14.910903,0.00578252,14.9029,0.251576109,14.90739,0.832130689,13.40841,0.007729838
15.014207,0.008059647,15.006247,0.34193196,15.010753,0.886534847,13.5007,0.003182874
15.117767,0.005656105,15.10958,0.318218081,15.11428,0.620266913,13.593195,6.82E-04
15.221257,0.00681813,15.213168,0.169089342,15.217638,0.434538953,13.685337,0.01114006
15.32454,0.00613306,15.316667,0.255926497,15.32122,0.833469716,13.777803,4.55E-04
15.428013,0.006950617,15.420023,0.264648598,15.42474,0.695302,13.870073,0.002046133
15.53139,0.005687571,15.5236,0.403946314,15.52815,0.624283993,13.962465,0.001136741
15.634873,0.008681785,15.627097,0.341953286,15.63167,0.631623843,14.05486,0.002273482
15.73822,0.007505408,15.730448,0.171989601,15.735028,0.688210118,14.147147,0.001136741
15.841787,0.006599526,15.833947,0.309559956,15.838372,0.499060202,14.239662,0.001591437
15.945193,0.007135547,15.937292,0.377716034,15.941987,0.769493997,14.332053,0.00250083
16.048548,0.007705243,16.040802,0.353405042,16.045505,0.648287286,14.424327,0.005683704
16.152067,0.006044735,16.144297,0.320265322,16.148795,1.039977385,14.516795,0.00500166
16.255377,0.007545154,16.24764,0.321800754,16.252322,0.737307763,14.609183,0.001591437
16.35896,0.007480567,16.35093,0.271088879,16.35562,0.901561702,14.701502,0.001136741
16.46247,0.003716822,16.454285,0.18282292,16.459027,0.610149822,14.793788,6.82E-04
16.565877,0.007986227,16.557683,0.290388394,16.562397,0.822856689,14.886287,0.003864919
16.66938,0.008869476,16.661265,0.287680064,16.665977,0.749805345,14.97882,0.005683704
16.772782,0.007413219,16.764755,0.170902004,16.769333,0.747424853,15.07121,0.005229008
16.876322,0.006525554,16.868097,0.281239784,16.872678,0.594974187,15.16364,0.002728178
16.979817,0.006776728,16.97157,0.281175807,16.976295,0.701848353,15.256085,0.00250083
17.08317,0.007023485,17.074912,0.255201433,17.079782,0.860200656,15.348368,0.007729838
17.186732,0.009211734,17.178132,0.159450247,17.183115,0.793943632,15.44083,0
17.290223,0.00855261,17.281615,0.237266745,17.28662,0.66123121,15.533223,0.004774311
17.393557,0.006810953,17.38496,0.302458588,17.38996,0.639310848,15.625502,0
17.497082,0.008498511,17.488507,0.208029579,17.493472,0.601322165,15.718008,0.002273482
17.600415,0.00704115,17.591862,0.317237111,17.596837,0.602314036,15.810392,0.004546963
17.704108,0.006293701,17.695338,0.264797876,17.700333,0.81690546,15.902672,0.003864919
17.807442,0.008454901,17.798802,0.408040796,17.80382,0.873094987,15.995085,0.005911052
17.910998,0.008382585,17.902145,0.318260732,17.90722,0.991474863,16.087343,0.002273482
18.014478,0.006467038,18.005512,0.244624019,18.010532,0.95070894,16.179848,9.09E-04
18.117825,0.00869945,18.108827,0.328710193,18.114065,0.642831992,16.272112,0.007729838
18.22117,0.00732931,18.212403,0.277123976,18.21744,0.596164432,16.36449,6.82E-04
18.32463,0.008060751,18.315878,0.407827542,18.32082,0.732150031,16.45699,0.002273482
18.427968,0.006855116,18.419223,0.34043918,18.424357,0.713106096,16.549408,0.012049453
18.531652,0.006688403,18.52273,0.23575264,18.52767,0.680671894,16.641692,0.003410222
18.635137,0.009301715,18.62606,0.341142919,18.631282,0.869623436,16.734227,0.005229008
18.738505,0.008904253,18.729565,0.324935592,18.73478,0.533428553,16.8266,0.004774311
18.841875,0.00695945,18.832938,0.286805721,18.838132,0.734877677,16.918875,0.008184534
18.945382,0.006590693,18.936423,0.270555743,18.941648,0.706410962,17.011193,0
19.048732,0.007660529,19.039757,0.406569342,19.045017,0.780156617,17.103478,0.002273482
19.152335,0.0094469,19.14326,0.279555075,19.148375,0.772023269,17.195747,0.003182874
19.255807,0.004513954,19.246508,0.274287693,19.251878,0.616200239,17.28821,0.001818785
19.35913,0.005861461,19.350082,0.380594967,19.355088,0.590560358,17.3805,0.003864919
