,Normalized1
,"Normalize to [0, 1] of B"
CHROMATOGRAM,--
IgY_man-10.raw,--
Data points: 893,--
Time,--
63.066007,0.001018092
63.174447,9.78E-04
63.282808,0.00102006
63.391008,9.10E-04
63.499357,9.87E-04
63.607583,0.001049138
63.715793,9.98E-04
63.824298,9.96E-04
63.932535,0.001106233
64.041022,0.001190571
64.149327,0.0024255
64.257587,0.002687071
64.365842,0.002122246
64.473878,0.002102057
64.582173,0.002104556
64.690415,0.002109863
64.798582,0.002138521
64.907023,0.002014712
65.015182,0.002185886
65.123502,0.002109819
65.231545,0.00217954
65.339368,0.002416013
65.447427,0.002216711
65.555508,0.00252766
65.663427,0.002449691
65.771545,0.002468575
65.879792,0.00249783
65.987617,0.002689481
66.095783,0.002736095
66.20408,0.002729019
66.311997,0.0028002
66.41978,0.002749274
66.52783,0.002369466
66.635908,0.002683798
66.74395,0.002873216
66.852115,0.002796065
66.96011,0.002973563
67.068538,0.002950323
67.17672,0.002896655
67.28476,0.00297803
67.392678,0.002964873
67.500998,0.002897805
67.609068,0.002946895
67.71699,0.002971772
67.825153,0.002963745
67.933087,0.003022521
68.041162,0.003071854
68.149423,0.003017966
68.257393,0.003136623
68.365397,0.003209749
68.47359,0.003189339
68.581597,0.002991674
68.689617,0.003243383
68.797737,0.003267618
68.905698,0.003046248
69.013832,0.003139431
69.121903,0.003100181
69.230047,0.003064668
69.337923,0.003017921
69.445938,0.003097881
69.554273,0.003171295
69.662568,0.003190445
69.770545,0.003276087
69.878553,0.003331679
69.986522,0.003186177
70.09467,0.003053523
70.202622,0.003211408
70.310772,0.003137021
70.418942,0.003201545
70.526945,0.003198494
70.635018,0.003118888
70.74292,0.003075061
70.850837,0.003100247
70.958645,0.003053788
71.066742,0.003164905
71.174888,0.003233366
71.283232,0.003153406
71.39153,0.003205083
71.49966,0.003052793
71.607682,0.003188079
71.715685,0.003095272
71.823885,0.003199224
71.932197,0.003212823
72.0403,0.003154954
72.148228,0.003053324
72.256767,0.003127667
72.364977,0.00344735
72.472995,0.003145578
72.581115,0.003197057
72.688933,0.003152676
72.797187,0.003247827
72.90514,0.003049034
73.012853,0.003119551
73.120825,0.003214968
73.228922,0.003222221
73.33692,0.003069665
73.445255,0.003161986
73.553263,0.003132421
73.661082,0.003219855
73.769317,0.003266004
73.877498,0.003211054
73.985295,0.003292075
74.093542,0.003134367
74.201645,0.0032107
74.309698,0.003222928
74.417598,0.003177398
74.525908,0.002993421
74.633947,0.003028867
74.742135,0.002583141
74.850377,0.002199486
74.95847,0.0019072
75.06678,0.001681429
75.174947,0.001555276
75.283322,0.001523633
