,8E1  1743-f,,8G1  1743-f,,8E2  1743-f,,8D3  1743-f
500.6667,0,500.6667,4.19E-05,500.6667,3.23E-06,500.000001,0
500.75,0,500.75,4.12E-06,500.75,0,500.083334,0
500.8333,0,500.8333,0,500.8333,0,500.166667,0
500.9167,0,500.9167,0,500.9167,0,500.250001,0
501,0,501,0,501,1.95E-04,500.333334,0
501.0833,0,501.0833,9.45E-06,501.0833,3.67E-04,500.416667,0
501.1667,0,501.1667,1.77E-05,501.1667,1.24E-04,500.500001,0
501.25,0,501.25,4.14E-05,501.25,2.06E-04,500.583334,0
501.3333,0,501.3333,1.39E-04,501.3333,2.01E-04,500.666667,0
501.4167,0,501.4167,7.87E-05,501.4167,4.82E-04,500.750001,0
501.5,0,501.5,4.38E-05,501.5,6.50E-04,500.833334,0
501.5833,0,501.5833,5.19E-05,501.5833,4.67E-04,500.916667,0
501.6667,0,501.6667,4.91E-05,501.6667,2.55E-04,501.000001,0
501.75,0,501.75,1.70E-05,501.75,4.76E-05,501.083334,0
501.8333,0,501.8333,2.15E-05,501.8333,4.04E-07,501.166667,0
501.9167,0,501.9167,1.12E-05,501.9167,0,501.250001,0
502,0,502,1.39E-05,502,0,501.333334,0
502.0833,0,502.0833,1.10E-05,502.0833,0,501.416667,0
502.1667,0,502.1667,2.41E-06,502.1667,0,501.500001,0
502.25,0,502.25,2.23E-06,502.25,5.25E-06,501.583334,0
502.3333,0,502.3333,1.72E-05,502.3333,6.46E-05,501.666667,0
502.4167,0,502.4167,1.53E-04,502.4167,3.55E-05,501.750001,0
502.5,0,502.5,3.60E-04,502.5,5.65E-06,501.833334,0
502.5833,0,502.5833,1.71E-04,502.5833,0,501.916667,0
502.6667,0,502.6667,5.36E-05,502.6667,0,502.000001,0
502.75,0,502.75,7.68E-05,502.75,0,502.083334,0
502.8333,0,502.8333,2.65E-05,502.8333,0,502.166667,0
502.9167,0,502.9167,1.72E-05,502.9167,0,502.250001,0
503,0,503,3.85E-05,503,0,502.333334,0
503.0833,0,503.0833,1.53E-05,503.0833,0,502.416667,0
503.1667,0,503.1667,1.62E-05,503.1667,0,502.500001,0
503.25,0,503.25,7.82E-05,503.25,0,502.583334,0
503.3333,0,503.3333,7.80E-05,503.3333,0,502.666667,0
503.4167,0,503.4167,6.53E-05,503.4167,0,502.750001,0
503.5,0,503.5,6.86E-05,503.5,0,502.833334,0
503.5833,0,503.5833,6.12E-05,503.5833,0,502.916667,0
503.6667,0,503.6667,2.78E-05,503.6667,0,503.000001,0
503.75,0,503.75,4.64E-06,503.75,0,503.083334,0
503.8333,0,503.8333,0,503.8333,0,503.166667,0
503.9167,0,503.9167,0,503.9167,0,503.250001,0
504,0,504,0,504,0,503.333334,0
504.0833,0,504.0833,0,504.0833,0,503.416667,0
504.1667,0,504.1667,0,504.1667,0,503.500001,0
504.25,0,504.25,0,504.25,0,503.583334,0
504.3333,0,504.3333,0,504.3333,0,503.666667,0
504.4167,0,504.4167,0,504.4167,0,503.750001,0
504.5,0,504.5,0,504.5,0,503.833334,0
504.5833,0,504.5833,1.53E-05,504.5833,0,503.916667,0
504.6667,0,504.6667,8.63E-05,504.6667,0,504.000001,0
504.75,0,504.75,1.42E-04,504.75,0,504.083334,0
504.8333,0,504.8333,1.75E-04,504.8333,0,504.166667,0
504.9167,0,504.9167,1.76E-04,504.9167,3.55E-05,504.250001,0
505,0,505,6.07E-05,505,4.16E-05,504.333334,0
505.0833,0,505.0833,2.23E-04,505.0833,1.13E-05,504.416667,0
505.1667,0,505.1667,2.77E-04,505.1667,2.42E-06,504.500001,0
505.25,0,505.25,2.72E-04,505.25,3.63E-05,504.583334,0
505.3333,0,505.3333,3.75E-04,505.3333,2.46E-05,504.666667,0
505.4167,0,505.4167,2.62E-04,505.4167,4.04E-06,504.750001,0
505.5,0,505.5,3.13E-04,505.5,0,504.833334,0
505.5833,0,505.5833,2.59E-04,505.5833,0,504.916667,0
505.6667,0,505.6667,7.35E-05,505.6667,0,505.000001,0
505.75,0,505.75,6.87E-06,505.75,0,505.083334,0
505.8333,0,505.8333,6.87E-07,505.8333,0,505.166667,0
505.9167,0,505.9167,3.39E-05,505.9167,0,505.250001,0
506,0,506,7.32E-05,506,0,505.333334,0
506.0833,0,506.0833,8.94E-05,506.0833,0,505.416667,0
506.1667,0,506.1667,1.60E-04,506.1667,0,505.500001,0
506.25,0,506.25,7.29E-05,506.25,0,505.583334,0
506.3333,0,506.3333,6.31E-05,506.3333,1.01E-05,505.666667,0
506.4167,0,506.4167,2.82E-04,506.4167,9.73E-05,505.750001,0
506.5,0,506.5,2.11E-04,506.5,5.13E-05,505.833334,0
506.5833,0,506.5833,7.63E-05,506.5833,8.07E-06,505.916667,0
506.6667,0,506.6667,2.29E-05,506.6667,0,506.000001,0
506.75,0,506.75,3.69E-05,506.75,0,506.083334,0
506.8333,0,506.8333,6.55E-05,506.8333,1.33E-05,506.166667,0
506.9167,0,506.9167,2.53E-04,506.9167,1.55E-04,506.250001,0
507,0,507,6.85E-04,507,2.89E-04,506.333334,0
507.0833,0,507.0833,8.06E-04,507.0833,4.12E-04,506.416667,0
507.1667,0,507.1667,9.57E-04,507.1667,3.14E-04,506.500001,0
507.25,0,507.25,0.001551948,507.25,2.40E-04,506.583334,0
507.3333,0,507.3333,0.001554354,507.3333,6.00E-04,506.666667,0
507.4167,0,507.4167,0.001995951,507.4167,7.68E-04,506.750001,0
507.5,0,507.5,0.002356274,507.5,5.67E-04,506.833334,0
507.5833,0,507.5833,0.001589578,507.5833,1.48E-04,506.916667,0
507.6667,0,507.6667,5.56E-04,507.6667,1.17E-05,507.000001,0
507.75,0,507.75,1.26E-04,507.75,0,507.083334,0
507.8333,0,507.8333,5.76E-05,507.8333,0,507.166667,0
507.9167,0,507.9167,1.80E-04,507.9167,0,507.250001,0
508,0,508,1.62E-04,508,1.53E-05,507.333334,0
508.0833,0,508.0833,1.96E-04,508.0833,2.38E-04,507.416667,0
508.1667,0,508.1667,2.95E-04,508.1667,1.86E-04,507.500001,0
508.25,0,508.25,6.95E-04,508.25,2.07E-04,507.583334,0
508.3333,0,508.3333,0.001489403,508.3333,5.78E-04,507.666667,0
508.4167,0,508.4167,0.001806769,508.4167,0.001148213,507.750001,0
508.5,0,508.5,0.001477547,508.5,0.001217226,507.833334,0
508.5833,0,508.5833,9.17E-04,508.5833,5.62E-04,507.916667,0
508.6667,0.005404179,508.6667,0.001299189,508.6667,8.70E-04,508.000001,0
508.75,0.019258527,508.75,0.001954025,508.75,0.001394806,508.083334,0
508.8333,0.008057139,508.8333,0.004442606,508.8333,0.002589431,508.166668,0
508.9167,0.005011147,508.9167,0.007598566,508.9167,0.005715233,508.250001,0
509,0.019848074,509,0.013644325,509,0.013631644,508.333334,0
509.0833,0.051781856,509.0833,0.026310606,509.0833,0.025857585,508.416668,0
509.1667,0.136283556,509.1667,0.045982476,509.1667,0.041920453,508.500001,0
509.25,0.134907947,509.25,0.070945266,509.25,0.069952983,508.583334,0
509.3333,0.098159533,509.3333,0.091743123,509.3333,0.095411821,508.666668,0
509.4167,0.050111473,509.4167,0.109446535,509.4167,0.109397817,508.750001,0
509.5,0.010513584,509.5,0.109183294,509.5,0.108120455,508.833334,0
509.5833,3.93E-04,509.5833,0.089469327,509.5833,0.082500988,508.916668,0
509.6667,0,509.6667,0.059845022,509.6667,0.052348806,509.000001,0
509.75,0,509.75,0.031529015,509.75,0.027533693,509.083334,0
509.8333,0,509.8333,0.013218364,509.8333,0.009558617,509.166668,0
509.9167,0,509.9167,0.004557043,509.9167,0.002285528,509.250001,0
510,0,510,0.002297509,510,0.001168796,509.333334,0
510.0833,0.004323343,510.0833,0.003527108,510.0833,0.002770239,509.416668,0
510.1667,0.024957479,510.1667,0.005247447,510.1667,0.003767509,509.500001,0
510.25,0.019356785,510.25,0.007721423,510.25,0.007093088,509.583334,0
510.3333,0.035176289,510.3333,0.010180965,510.3333,0.008721976,509.666668,0
510.4167,0.028691275,510.4167,0.010507438,510.4167,0.009792699,509.750001,0
510.5,0.008253654,510.5,0.010864496,510.5,0.011305353,509.833334,0
510.5833,6.88E-04,510.5833,0.00909845,510.5833,0.009458931,509.916668,0
510.6667,0,510.6667,0.005733376,510.6667,0.006237882,510.000001,0
510.75,0,510.75,0.002899249,510.75,0.001942073,510.083334,0
510.8333,0,510.8333,0.001187673,510.8333,3.45E-04,510.166668,0
510.9167,0,510.9167,5.41E-04,510.9167,4.36E-04,510.250001,0
511,0,511,4.86E-04,511,4.70E-04,510.333334,0
511.0833,0,511.0833,6.52E-04,511.0833,0.001132473,510.416668,0
511.1667,0,511.1667,7.90E-04,511.1667,0.001375434,510.500001,0
511.25,0,511.25,9.46E-04,511.25,0.001179289,510.583334,0
511.3333,0,511.3333,0.001604699,511.3333,0.001073952,510.666668,0
511.4167,0,511.4167,0.001821718,511.4167,7.91E-04,510.750001,0
511.5,0,511.5,0.001107773,511.5,3.26E-04,510.833334,0
511.5833,0,511.5833,7.99E-04,511.5833,1.17E-04,510.916668,0
511.6667,0,511.6667,7.60E-04,511.6667,2.14E-04,511.000001,0
511.75,0,511.75,3.20E-04,511.75,1.97E-04,511.083334,0
511.8333,0,511.8333,1.24E-04,511.8333,4.96E-05,511.166668,0
511.9167,0,511.9167,6.72E-05,511.9167,3.23E-06,511.250001,0
512,0,512,1.75E-05,512,0,511.333334,0
512.0833,0,512.0833,1.15E-04,512.0833,0,511.416668,0
512.1667,0,512.1667,3.21E-04,512.1667,2.66E-05,511.500001,0
512.25,0,512.25,2.42E-04,512.25,5.21E-05,511.583334,0
512.3333,0,512.3333,8.76E-05,512.3333,1.86E-05,511.666668,0
512.4167,0,512.4167,7.03E-05,512.4167,2.02E-06,511.750001,0
512.5,0,512.5,1.02E-04,512.5,5.41E-05,511.833334,0
512.5833,0,512.5833,1.09E-04,512.5833,3.29E-04,511.916668,0
512.6667,0,512.6667,7.35E-05,512.6667,3.18E-04,512.000001,0
512.75,0,512.75,5.15E-05,512.75,2.46E-04,512.083334,0
512.8333,0,512.8333,7.18E-05,512.8333,2.97E-04,512.166668,0
512.9167,0,512.9167,7.51E-05,512.9167,5.11E-04,512.250001,0
513,0,513,2.01E-05,513,4.42E-04,512.333334,0
513.0833,0,513.0833,1.67E-05,513.0833,5.41E-04,512.416668,0
513.1667,0,513.1667,8.75E-05,513.1667,0.001298348,512.500001,0
513.25,0,513.25,1.33E-04,513.25,0.002060729,512.583334,0
513.3333,0,513.3333,1.76E-04,513.3333,0.00250387,512.666668,0
513.4167,0,513.4167,2.22E-04,513.4167,0.001946513,512.750001,0
513.5,0,513.5,1.65E-04,513.5,0.001534851,512.833334,0
513.5833,0,513.5833,4.26E-05,513.5833,0.001246285,512.916668,0
513.6667,0,513.6667,6.10E-05,513.6667,7.45E-04,513.000001,0
513.75,0,513.75,1.08E-04,513.75,4.64E-04,513.083334,0
513.8333,0,513.8333,5.36E-05,513.8333,2.97E-04,513.166668,0
513.9167,0,513.9167,9.79E-06,513.9167,9.00E-05,513.250001,0
514,0,514,6.87E-07,514,4.28E-05,513.333334,0
514.0833,0,514.0833,4.47E-06,514.0833,4.31E-04,513.416668,0
514.1667,0,514.1667,4.48E-05,514.1667,8.74E-04,513.500001,0
514.25,0,514.25,4.06E-05,514.25,7.37E-04,513.583334,0
