,8E1  1743-f,,8G1  1743-f,,8E2  1743-f,,8D3  1743-f
1214.1667,0,1214.1667,9.09E-04,1214.1667,0.001690637,1213.500022,0
1214.25,0,1214.25,0.002227231,1214.25,0.00285459,1213.583355,0
1214.3334,0,1214.3334,0.002584461,1214.3334,0.00228795,1213.666689,0
1214.4167,0,1214.4167,0.002579134,1214.4167,0.003060017,1213.750022,0
1214.5,0,1214.5,0.003538964,1214.5,0.003789303,1213.833355,0
1214.5834,0,1214.5834,0.004338994,1214.5834,0.002982931,1213.916689,0
1214.6667,0,1214.6667,0.004739181,1214.6667,0.003281184,1214.000022,0
1214.75,0,1214.75,0.003592059,1214.75,0.004344239,1214.083355,0
1214.8334,0,1214.8334,0.002339263,1214.8334,0.002687503,1214.166689,0
1214.9167,0,1214.9167,0.001729618,1214.9167,0.001238213,1214.250022,0
1215,0,1215,0.001641299,1215,8.03E-04,1214.333355,0
1215.0834,0,1215.0834,9.17E-04,1215.0834,9.70E-04,1214.416689,0
1215.1667,0.003340765,1215.1667,5.30E-04,1215.1667,0.001248706,1214.500022,0
1215.25,0.017096856,1215.25,8.49E-04,1215.25,0.001478349,1214.583355,0
1215.3334,0.007172819,1215.3334,0.001375825,1215.3334,0.001882342,1214.666689,0
1215.4167,8.84E-04,1215.4167,0.001597826,1215.4167,0.002234272,1214.750022,0
1215.5,0,1215.5,0.002320534,1215.5,0.003162125,1214.833355,0
1215.5834,0,1215.5834,0.003975406,1215.5834,0.004378948,1214.916689,0
1215.6667,0,1215.6667,0.005868776,1215.6667,0.004988368,1215.000022,0
1215.75,0,1215.75,0.006558321,1215.75,0.005662363,1215.083355,0
1215.8334,0,1215.8334,0.008234157,1215.8334,0.007349771,1215.166689,0
1215.9167,0,1215.9167,0.012956498,1215.9167,0.011738001,1215.250022,0
1216,0,1216,0.022055292,1216,0.015480488,1215.333355,0
1216.0834,0.009432748,1216.0834,0.033759167,1216.0834,0.023565196,1215.416689,0
1216.1667,0.014050864,1216.1667,0.051173049,1216.1667,0.041287221,1215.500022,0
1216.25,0.033014618,1216.25,0.081390502,1216.25,0.063893084,1215.583355,0
1216.3334,0.040285694,1216.3334,0.117025684,1216.3334,0.086243475,1215.666689,0
1216.4167,0.040580468,1216.4167,0.160230737,1216.4167,0.118868855,1215.750022,0
1216.5,0.079490553,1216.5,0.199182881,1216.5,0.150377906,1215.833355,0
1216.5834,0.121053599,1216.5834,0.226414484,1216.5834,0.163948204,1215.916689,0
1216.6667,0.090888457,1216.6667,0.225122168,1216.6667,0.15770225,1216.000022,0
1216.75,0.02800347,1216.75,0.203948867,1216.75,0.129502231,1216.083355,0
1216.8334,0.013952606,1216.8334,0.162041973,1216.8334,0.098818118,1216.166689,0
1216.9167,0.009629264,1216.9167,0.113282417,1216.9167,0.068395127,1216.250022,0
1217,0.002063414,1217,0.070828939,1217,0.039833087,1216.333355,0
1217.0834,0,1217.0834,0.044912849,1217.0834,0.025301035,1216.416689,0
1217.1667,0.005011147,1217.1667,0.034859552,1217.1667,0.022722097,1216.500022,0
1217.25,0.020142847,1217.25,0.037989737,1217.25,0.025962115,1216.583355,0
1217.3334,0.046574193,1217.3334,0.051198479,1217.3334,0.033376057,1216.666689,0
1217.4167,0.049914958,1217.4167,0.068769755,1217.4167,0.04436096,1216.750022,0
1217.5,0.023090581,1217.5,0.085128958,1217.5,0.058664177,1216.833355,0
1217.5834,0.044707295,1217.5834,0.098654378,1217.5834,0.070130562,1216.916689,0
1217.6667,0.053255723,1217.6667,0.102619131,1217.6667,0.075073728,1217.000022,0
1217.75,0.021420198,1217.75,0.088249006,1217.75,0.065255603,1217.083355,0
1217.8334,0.008155397,1217.8334,0.066316742,1217.8334,0.043714812,1217.166689,0
1217.9167,0.001866898,1217.9167,0.044421765,1217.9167,0.026866963,1217.250022,0
1218,1.97E-04,1218,0.025526213,1218,0.015464748,1217.333355,0.001795898
1218.0834,0.011201388,1218.0834,0.014367548,1218.0834,0.009309602,1217.416689,0.005846276
1218.1667,0.052862692,1218.1667,0.008243779,1218.1667,0.006718557,1217.500022,0.00227169
1218.25,0.039204859,1218.25,0.007040985,1218.25,0.004920565,1217.583355,2.72E-04
1218.3334,0.008351912,1218.3334,0.007733279,1218.3334,0.004145673,1217.666689,0
1218.4167,9.83E-05,1218.4167,0.008988481,1218.4167,0.006366223,1217.750022,0
1218.5,0,1218.5,0.011068627,1218.5,0.00947911,1217.833355,0
1218.5834,0,1218.5834,0.011527923,1218.5834,0.009724493,1217.916689,2.68E-07
1218.6667,0,1218.6667,0.009956558,1218.6667,0.009245432,1218.000022,2.90E-07
1218.75,0,1218.75,0.008200307,1218.75,0.008516549,1218.083355,6.14E-08
1218.8334,0,1218.8334,0.006354533,1218.8334,0.005028323,1218.166689,0
1218.9167,0,1218.9167,0.0043725,1218.9167,0.002668131,1218.250022,0
1219,0,1219,0.00251573,1219,0.001561892,1218.333355,0
1219.0834,0,1219.0834,0.001583221,1219.0834,0.001059019,1218.416689,0
1219.1667,0,1219.1667,0.001517583,1219.1667,7.34E-04,1218.500022,0
1219.25,0,1219.25,0.001341287,1219.25,5.01E-04,1218.583355,0
1219.3334,0,1219.3334,0.001200904,1219.3334,2.71E-04,1218.666689,0
1219.4167,0,1219.4167,0.001142311,1219.4167,4.71E-04,1218.750022,0
1219.5,0,1219.5,9.39E-04,1219.5,7.93E-04,1218.833355,0
1219.5834,0,1219.5834,8.87E-04,1219.5834,0.001198258,1218.916689,0
1219.6667,0,1219.6667,0.001094886,1219.6667,9.10E-04,1219.000022,0
1219.75,0,1219.75,8.68E-04,1219.75,8.71E-04,1219.083355,0
1219.8334,0,1219.8334,6.03E-04,1219.8334,8.72E-04,1219.166689,0
1219.9167,0,1219.9167,3.91E-04,1219.9167,6.45E-04,1219.250022,0
1220,0,1220,4.17E-04,1220,2.34E-04,1219.333355,0
1220.0834,4.91E-04,1220.0834,3.68E-04,1220.0834,5.57E-05,1219.416689,0
1220.1667,0.018472465,1220.1667,4.56E-04,1220.1667,8.92E-05,1219.500022,0
1220.25,0.027610439,1220.25,5.82E-04,1220.25,1.25E-04,1219.583355,0
1220.3334,0.007958881,1220.3334,3.79E-04,1220.3334,3.00E-04,1219.666689,0
1220.4167,5.90E-04,1220.4167,2.98E-04,1220.4167,7.18E-04,1219.750022,0
1220.5,0,1220.5,3.20E-04,1220.5,8.51E-04,1219.833355,0
1220.5834,0,1220.5834,4.10E-04,1220.5834,7.04E-04,1219.916689,0
1220.6667,0,1220.6667,7.59E-04,1220.6667,4.68E-04,1220.000022,0
1220.75,0,1220.75,7.77E-04,1220.75,2.92E-04,1220.083355,0
1220.8334,0,1220.8334,3.19E-04,1220.8334,1.32E-04,1220.166689,0
1220.9167,0,1220.9167,1.64E-04,1220.9167,1.05E-04,1220.250022,0
1221,0,1221,1.68E-04,1221,4.20E-04,1220.333355,0
1221.0834,0,1221.0834,2.09E-04,1221.0834,0.001109872,1220.416689,0
1221.1667,0,1221.1667,4.72E-04,1221.1667,0.002392479,1220.500022,0
1221.25,0,1221.25,7.88E-04,1221.25,0.003757016,1220.583355,0
1221.3334,0,1221.3334,6.38E-04,1221.3334,0.005201463,1220.666689,0
1221.4167,0,1221.4167,5.68E-04,1221.4167,0.005298728,1220.750022,0
1221.5,0,1221.5,6.91E-04,1221.5,0.008040717,1220.833355,0
1221.5834,0,1221.5834,6.74E-04,1221.5834,0.010731045,1220.916689,0
1221.6667,0,1221.6667,7.69E-04,1221.6667,0.010180549,1221.000022,0
1221.75,0,1221.75,7.68E-04,1221.75,0.009484357,1221.083355,0
1221.8334,0,1221.8334,3.50E-04,1221.8334,0.008043542,1221.166689,0
1221.9167,0,1221.9167,2.21E-04,1221.9167,0.005217203,1221.250022,0
1222,0,1222,1.61E-04,1222,0.003304996,1221.333355,0
1222.0834,0,1222.0834,1.43E-04,1222.0834,0.001363729,1221.416689,0
1222.1667,0,1222.1667,1.65E-04,1222.1667,6.57E-04,1221.500022,0
1222.25,0,1222.25,2.97E-04,1222.25,6.66E-04,1221.583355,0
1222.3334,0,1222.3334,5.31E-04,1222.3334,8.25E-04,1221.666689,0
1222.4167,0.015033442,1222.4167,4.04E-04,1222.4167,0.001354447,1221.750022,0
1222.5,0.015328215,1222.5,4.13E-04,1222.5,0.002321448,1221.833355,0
1222.5834,0.003045992,1222.5834,5.86E-04,1222.5834,0.002484094,1221.916689,0
1222.6667,0,1222.6667,6.05E-04,1222.6667,0.00247804,1222.000022,0
1222.75,0,1222.75,4.69E-04,1222.75,0.00184279,1222.083355,0
1222.8334,0,1222.8334,5.07E-04,1222.8334,9.42E-04,1222.166689,0
1222.9167,0,1222.9167,4.83E-04,1222.9167,9.73E-04,1222.250022,0
1223,0,1223,3.12E-04,1223,9.22E-04,1222.333355,0
1223.0834,0,1223.0834,1.26E-04,1223.0834,5.55E-04,1222.416689,0
1223.1667,0,1223.1667,7.53E-05,1223.1667,3.35E-04,1222.500022,0
1223.25,0,1223.25,3.90E-04,1223.25,3.06E-04,1222.583355,0
1223.3334,0,1223.3334,8.24E-04,1223.3334,4.48E-04,1222.666689,0
1223.4167,0,1223.4167,6.48E-04,1223.4167,6.69E-04,1222.750022,0
1223.5,0,1223.5,7.55E-04,1223.5,6.07E-04,1222.833355,0
1223.5834,0,1223.5834,8.20E-04,1223.5834,9.11E-04,1222.916689,0
1223.6667,0,1223.6667,8.03E-04,1223.6667,7.85E-04,1223.000022,0
1223.75,0,1223.75,6.89E-04,1223.75,6.15E-04,1223.083355,0
1223.8334,0,1223.8334,6.37E-04,1223.8334,4.70E-04,1223.166689,0
1223.9167,0,1223.9167,4.90E-04,1223.9167,6.16E-04,1223.250022,0
1224,0,1224,2.85E-04,1224,3.78E-04,1223.333355,0
1224.0834,0,1224.0834,1.54E-04,1224.0834,1.97E-04,1223.416689,0
1224.1667,2.95E-04,1224.1667,8.68E-05,1224.1667,4.68E-05,1223.500022,0
1224.25,0.004814632,1224.25,1.16E-04,1224.25,3.35E-05,1223.583355,0
1224.3334,0.005109405,1224.3334,6.91E-05,1224.3334,1.42E-04,1223.666689,0
1224.4167,9.83E-04,1224.4167,1.88E-04,1224.4167,2.86E-04,1223.750022,0
1224.5,0,1224.5,2.34E-04,1224.5,2.70E-04,1223.833356,0
1224.5834,0,1224.5834,2.36E-04,1224.5834,2.67E-04,1223.916689,0
1224.6667,0,1224.6667,1.68E-04,1224.6667,6.43E-04,1224.000022,0
1224.75,0,1224.75,2.34E-04,1224.75,5.29E-04,1224.083356,0
1224.8334,0,1224.8334,2.50E-04,1224.8334,4.94E-04,1224.166689,0
1224.9167,0,1224.9167,2.73E-04,1224.9167,2.05E-04,1224.250022,0
1225,0,1225,2.95E-04,1225,3.19E-05,1224.333356,0
1225.0834,0,1225.0834,4.97E-04,1225.0834,0,1224.416689,0
1225.1667,0,1225.1667,4.79E-04,1225.1667,0,1224.500022,0
1225.25,0,1225.25,4.19E-04,1225.25,0,1224.583356,0
1225.3334,0,1225.3334,5.25E-04,1225.3334,7.30E-05,1224.666689,0
1225.4167,0,1225.4167,8.97E-04,1225.4167,2.47E-04,1224.750022,0
1225.5,0,1225.5,0.001032169,1225.5,7.98E-04,1224.833356,0
1225.5834,0,1225.5834,0.001181488,1225.5834,9.44E-04,1224.916689,0
1225.6667,0,1225.6667,0.001531157,1225.6667,2.92E-04,1225.000022,0
1225.75,0,1225.75,0.002010728,1225.75,8.68E-05,1225.083356,0
1225.8334,0,1225.8334,0.001852818,1225.8334,2.11E-04,1225.166689,0
1225.9167,0,1225.9167,9.31E-04,1225.9167,1.32E-04,1225.250022,0
1226,0,1226,8.36E-04,1226,2.95E-05,1225.333356,0
1226.0834,0,1226.0834,8.17E-04,1226.0834,8.88E-06,1225.416689,0
1226.1667,0,1226.1667,0.001024609,1226.1667,8.19E-05,1225.500022,0
1226.25,0.009137975,1226.25,8.16E-04,1226.25,1.30E-04,1225.583356,0
1226.3334,0.012380482,1226.3334,6.67E-04,1226.3334,4.21E-04,1225.666689,0
1226.4167,0.002947734,1226.4167,0.001084061,1226.4167,7.51E-04,1225.750022,0
1226.5,9.83E-05,1226.5,0.001664152,1226.5,0.001921894,1225.833356,0
1226.5834,0,1226.5834,0.002137537,1226.5834,0.001611533,1225.916689,0
1226.6667,0,1226.6667,0.001833058,1226.6667,0.001004535,1226.000022,0
1226.75,0,1226.75,0.001863644,1226.75,4.00E-04,1226.083356,0
1226.8334,0,1226.8334,0.001066363,1226.8334,5.16E-04,1226.166689,0
1226.9167,0,1226.9167,5.03E-04,1226.9167,8.23E-04,1226.250022,0
1227,0,1227,6.15E-04,1227,3.60E-04,1226.333356,0
1227.0834,0.005207663,1227.0834,6.32E-04,1227.0834,5.21E-05,1226.416689,0
1227.1667,0.031344235,1227.1667,9.95E-04,1227.1667,1.21E-06,1226.500022,0
1227.25,0.016802082,1227.25,8.64E-04,1227.25,2.32E-04,1226.583356,0
1227.3334,0.002849476,1227.3334,5.81E-04,1227.3334,8.41E-04,1226.666689,0
1227.4167,0,1227.4167,9.72E-04,1227.4167,0.00122893,1226.750022,0
1227.5,0,1227.5,8.77E-04,1227.5,5.12E-04,1226.833356,0
1227.5834,0,1227.5834,6.42E-04,1227.5834,0.00101866,1226.916689,0
1227.6667,0,1227.6667,3.43E-04,1227.6667,0.001040051,1227.000022,0
1227.75,0,1227.75,3.70E-04,1227.75,3.87E-04,1227.083356,0
1227.8334,0,1227.8334,4.92E-04,1227.8334,1.38E-04,1227.166689,0
1227.9167,0.002456445,1227.9167,7.59E-04,1227.9167,2.33E-04,1227.250022,0
1228,0.00933449,1228,0.001069628,1228,4.79E-04,1227.333356,0
1228.0834,0.004126827,1228.0834,0.001355377,1228.0834,4.88E-04,1227.416689,0
1228.1667,5.90E-04,1228.1667,0.002225856,1228.1667,4.96E-04,1227.500022,0
1228.25,0,1228.25,0.003751687,1228.25,2.43E-04,1227.583356,0
1228.3334,0,1228.3334,0.004787808,1228.3334,2.88E-04,1227.666689,0
1228.4167,0,1228.4167,0.006115177,1228.4167,7.35E-04,1227.750022,0
1228.5,0,1228.5,0.007789467,1228.5,0.001909383,1227.833356,0
1228.5834,0,1228.5834,0.008764245,1228.5834,0.002943379,1227.916689,0
1228.6667,0,1228.6667,0.009862396,1228.6667,0.002921182,1228.000022,0
1228.75,0,1228.75,0.010503829,1228.75,0.002312569,1228.083356,0
1228.8334,0,1228.8334,0.008168862,1228.8334,0.001331039,1228.166689,0
1228.9167,0,1228.9167,0.005733032,1228.9167,6.59E-04,1228.250022,0
1229,0.005698952,1229,0.004024893,1229,7.56E-04,1228.333356,0
1229.0834,0.01866898,1229.0834,0.003510784,1229.0834,0.001871042,1228.416689,0
1229.1667,0.008351912,1229.1667,0.003862172,1229.1667,0.004990386,1228.500022,0
1229.25,0.001179093,1229.25,0.003814576,1229.25,0.008111345,1228.583356,0
1229.3334,0,1229.3334,0.005885444,1229.3334,0.007796948,1228.666689,0
1229.4167,0,1229.4167,0.009055322,1229.4167,0.008232018,1228.750022,0
1229.5,0,1229.5,0.011420359,1229.5,0.010588174,1228.833356,0
1229.5834,0,1229.5834,0.011849928,1229.5834,0.01015028,1228.916689,0
1229.6667,0,1229.6667,0.012089628,1229.6667,0.00887534,1229.000022,0
1229.75,0,1229.75,0.010375646,1229.75,0.007583449,1229.083356,0
1229.8334,0,1229.8334,0.007558187,1229.8334,0.006328286,1229.166689,0
1229.9167,0,1229.9167,0.005007919,1229.9167,0.003799393,1229.250022,0
1230,0,1230,0.002952172,1230,0.00171687,1229.333356,0
1230.0834,0,1230.0834,0.00129455,1230.0834,7.92E-04,1229.416689,0
1230.1667,0,1230.1667,7.98E-04,1230.1667,8.76E-04,1229.500022,0
1230.25,0,1230.25,9.12E-04,1230.25,9.11E-04,1229.583356,0
1230.3334,0,1230.3334,0.001721714,1230.3334,8.26E-04,1229.666689,0
1230.4167,0,1230.4167,0.002262971,1230.4167,0.001413775,1229.750022,0
1230.5,0,1230.5,0.002388062,1230.5,0.002316605,1229.833356,0
1230.5834,0,1230.5834,0.002859042,1230.5834,0.002509924,1229.916689,0
1230.6667,0,1230.6667,0.003018326,1230.6667,0.003063245,1230.000022,0
1230.75,0,1230.75,0.002365037,1230.75,0.002955083,1230.083356,0
1230.8334,0,1230.8334,0.002013306,1230.8334,0.002176963,1230.166689,0
1230.9167,0.002849476,1230.9167,0.002194412,1230.9167,0.00208898,1230.250022,0
1231,0.017195113,1231,0.003419372,1231,0.002159205,1230.333356,0
1231.0834,0.009531006,1231.0834,0.005359307,1231.0834,0.002566427,1230.416689,0
1231.1667,0.003930312,1231.1667,0.00738086,1231.1667,0.00436119,1230.500022,0
1231.25,0.011790935,1231.25,0.010792672,1231.25,0.007635513,1230.583356,0
1231.3334,0.006386756,1231.3334,0.01635233,1231.3334,0.009439962,1230.666689,0
1231.4167,0.007860623,1231.4167,0.022045326,1231.4167,0.013713976,1230.750022,0
1231.5,0.016310793,1231.5,0.027550687,1231.5,0.021833796,1230.833356,0
1231.5834,0.006091983,1231.5834,0.030345637,1231.5834,0.024732781,1230.916689,0
1231.6667,6.88E-04,1231.6667,0.029271542,1231.6667,0.022285413,1231.000022,0
1231.75,0,1231.75,0.02519029,1231.75,0.020979397,1231.083356,0
1231.8334,0,1231.8334,0.019341961,1231.8334,0.014579272,1231.166689,0
1231.9167,0,1231.9167,0.012628479,1231.9167,0.009187718,1231.250022,0
1232,0,1232,0.007649427,1232,0.005352002,1231.333356,0
1232.0834,0,1232.0834,0.005060327,1232.0834,0.003179076,1231.416689,0
1232.1667,0,1232.1667,0.003905301,1232.1667,0.001910997,1231.500022,0
1232.25,0,1232.25,0.003817325,1232.25,0.001890414,1231.583356,0
1232.3334,0,1232.3334,0.005259991,1232.3334,0.003503562,1231.666689,0
1232.4167,0,1232.4167,0.006985828,1232.4167,0.005287428,1231.750022,0
1232.5,2.95E-04,1232.5,0.007534302,1232.5,0.006581336,1231.833356,0
1232.5834,0.022206261,1232.5834,0.007953906,1232.5834,0.006333129,1231.916689,0
1232.6667,0.029575595,1232.6667,0.008924733,1232.6667,0.005477519,1232.000022,0
1232.75,0.010513584,1232.75,0.008943634,1232.75,0.004846708,1232.083356,0
1232.8334,0.001080836,1232.8334,0.007043219,1232.8334,0.004345853,1232.166689,0
1232.9167,0,1232.9167,0.005245385,1232.9167,0.002922796,1232.250022,0
1233,0,1233,0.00371818,1233,0.001818575,1232.333356,0
1233.0834,0,1233.0834,0.001809518,1233.0834,0.001710817,1232.416689,0
1233.1667,0,1233.1667,0.0010454,1233.1667,0.001002517,1232.500022,0
1233.25,0,1233.25,7.36E-04,1233.25,4.57E-04,1232.583356,0
1233.3334,0,1233.3334,6.41E-04,1233.3334,6.31E-04,1232.666689,0
1233.4167,0,1233.4167,5.39E-04,1233.4167,0.001009781,1232.750022,0
1233.5,0,1233.5,5.50E-04,1233.5,0.001847633,1232.833356,0
1233.5834,0,1233.5834,6.90E-04,1233.5834,0.001412967,1232.916689,0
1233.6667,0,1233.6667,0.001041276,1233.6667,7.56E-04,1233.000022,0
1233.75,0,1233.75,1.00E-03,1233.75,3.98E-04,1233.083356,0
1233.8334,0,1233.8334,5.82E-04,1233.8334,4.48E-04,1233.166689,0
1233.9167,0,1233.9167,3.11E-04,1233.9167,3.71E-04,1233.250022,0
1234,0,1234,3.45E-04,1234,4.20E-04,1233.333356,0
1234.0834,0,1234.0834,3.96E-04,1234.0834,2.95E-04,1233.416689,0
1234.1667,0,1234.1667,3.73E-04,1234.1667,9.89E-04,1233.500022,0
1234.25,0,1234.25,7.61E-04,1234.25,0.001148616,1233.583356,0
1234.3334,0,1234.3334,0.00105296,1234.3334,6.63E-04,1233.666689,0
1234.4167,0,1234.4167,0.00149198,1234.4167,0.001567542,1233.750022,0
1234.5,0,1234.5,0.001500915,1234.5,0.001814539,1233.833356,0
1234.5834,0,1234.5834,0.001367061,1234.5834,0.001267675,1233.916689,0
1234.6667,0,1234.6667,0.001266027,1234.6667,0.001518708,1234.000022,0
1234.75,0,1234.75,7.58E-04,1234.75,0.00157965,1234.083356,0
1234.8334,0,1234.8334,9.36E-04,1234.8334,7.93E-04,1234.166689,0
1234.9167,0,1234.9167,0.001087498,1234.9167,6.75E-04,1234.250022,0
1235,0,1235,8.19E-04,1235,2.78E-04,1234.333356,0
1235.0834,0,1235.0834,5.35E-04,1235.0834,1.72E-04,1234.416689,0
1235.1667,0,1235.1667,5.92E-04,1235.1667,5.21E-04,1234.500022,0
1235.25,0,1235.25,0.001000381,1235.25,7.25E-04,1234.583356,0
1235.3334,0,1235.3334,0.001557275,1235.3334,5.75E-04,1234.666689,0
1235.4167,0,1235.4167,0.001712092,1235.4167,0.001123594,1234.750022,0
1235.5,0,1235.5,0.00199681,1235.5,0.001862566,1234.833356,0
1235.5834,0,1235.5834,0.001961414,1235.5834,0.001884764,1234.916689,0
1235.6667,0,1235.6667,0.001466722,1235.6667,0.001119558,1235.000023,0
1235.75,0,1235.75,0.001699892,1235.75,3.87E-04,1235.083356,0
1235.8334,0,1235.8334,0.001461051,1235.8334,8.81E-04,1235.166689,0
1235.9167,0,1235.9167,8.84E-04,1235.9167,8.03E-04,1235.250023,0
1236,0,1236,0.001069971,1236,3.39E-04,1235.333356,0
1236.0834,0,1236.0834,0.001284928,1236.0834,5.84E-04,1235.416689,0
1236.1667,0,1236.1667,0.001361563,1236.1667,4.15E-04,1235.500023,0
1236.25,0,1236.25,0.00172601,1236.25,5.93E-04,1235.583356,0
1236.3334,0,1236.3334,0.001288708,1236.3334,9.87E-04,1235.666689,0
1236.4167,0.003930312,1236.4167,0.001039214,1236.4167,6.87E-04,1235.750023,0
1236.5,0.015622989,1236.5,0.00128424,1236.5,8.96E-04,1235.833356,0
1236.5834,0.00668153,1236.5834,0.001853678,1236.5834,0.001589336,1235.916689,0
1236.6667,8.84E-04,1236.6667,0.001904882,1236.6667,0.001887185,1236.000023,0
1236.75,0,1236.75,9.46E-04,1236.75,0.00100736,1236.083356,0
1236.8334,0,1236.8334,7.91E-04,1236.8334,4.12E-04,1236.166689,0
1236.9167,0,1236.9167,7.25E-04,1236.9167,3.79E-04,1236.250023,0
1237,0,1237,5.53E-04,1237,3.35E-04,1236.333356,0
1237.0834,0,1237.0834,4.99E-04,1237.0834,3.47E-04,1236.416689,0
1237.1667,0,1237.1667,3.28E-04,1237.1667,4.42E-04,1236.500023,0
1237.25,0,1237.25,6.01E-04,1237.25,5.82E-04,1236.583356,0
1237.3334,0,1237.3334,0.0011686,1237.3334,0.001092517,1236.666689,0
1237.4167,0,1237.4167,0.001022719,1237.4167,0.001679337,1236.750023,0
1237.5,0,1237.5,6.37E-04,1237.5,0.0014166,1236.833356,0
1237.5834,0,1237.5834,7.03E-04,1237.5834,0.001257585,1236.916689,0
1237.6667,0,1237.6667,9.95E-04,1237.6667,0.001492475,1237.000023,0
1237.75,0,1237.75,0.001153651,1237.75,0.001250321,1237.083356,0
1237.8334,0,1237.8334,0.001102275,1237.8334,7.51E-04,1237.166689,0
1237.9167,0,1237.9167,6.15E-04,1237.9167,3.93E-04,1237.250023,0
1238,0,1238,3.73E-04,1238,1.28E-04,1237.333356,0
1238.0834,0,1238.0834,3.78E-04,1238.0834,2.34E-05,1237.416689,0
1238.1667,0,1238.1667,4.31E-04,1238.1667,3.03E-04,1237.500023,0
1238.25,0,1238.25,5.46E-04,1238.25,9.72E-04,1237.583356,0
1238.3334,0,1238.3334,7.02E-04,1238.3334,0.001187764,1237.666689,0
1238.4167,0,1238.4167,6.19E-04,1238.4167,7.57E-04,1237.750023,0
1238.5,0,1238.5,6.48E-04,1238.5,5.49E-04,1237.833356,0
1238.5834,0,1238.5834,6.30E-04,1238.5834,9.67E-04,1237.916689,0
1238.6667,0,1238.6667,6.22E-04,1238.6667,0.00249822,1238.000023,0
1238.75,0,1238.75,7.53E-04,1238.75,0.004633209,1238.083356,0
1238.8334,4.91E-04,1238.8334,9.20E-04,1238.8334,0.008295785,1238.166689,0
1238.9167,0.034881516,1238.9167,0.001123238,1238.9167,0.015837261,1238.250023,0
1239,0.06671704,1239,0.001196437,1239,0.027522796,1238.333356,0
1239.0834,0.074184632,1239.0834,0.002138224,1239.0834,0.046305051,1238.416689,0
1239.1667,0.172049392,1239.1667,0.003615599,1239.1667,0.079906714,1238.500023,0
1239.25,0.209583868,1239.25,0.005031116,1239.25,0.131994801,1238.583356,0
1239.3334,0.252719039,1239.3334,0.008368526,1239.3334,0.201042532,1238.666689,0
1239.4167,0.328377538,1239.4167,0.012498406,1239.4167,0.273934051,1238.750023,0
1239.5,0.265689067,1239.5,0.016225521,1239.5,0.321642786,1238.833356,0
1239.5834,0.137364392,1239.5834,0.018194495,1239.5834,0.350645142,1238.916689,0
1239.6667,0.110343499,1239.6667,0.017749805,1239.6667,0.346318661,1239.000023,0
1239.75,0.087056403,1239.75,0.015530478,1239.75,0.294957035,1239.083356,0
1239.8334,0.051781856,1239.8334,0.012892063,1239.8334,0.22666321,1239.166689,0
1239.9167,0.013657833,1239.9167,0.01063923,1239.9167,0.143081408,1239.250023,0
1240,0.029968626,1240,0.006959023,1240,0.08402131,1239.333356,0
1240.0834,0.03380068,1240.0834,0.005023212,1240.0834,0.047625596,1239.416689,0
1240.1667,0.061214604,1240.1667,0.004872863,1240.1667,0.033899512,1239.500023,0
1240.25,0.170968557,1240.25,0.006861425,1240.25,0.038027427,1239.583356,2.21E-04
1240.3334,0.189735795,1240.3334,0.009849853,1240.3334,0.05177248,1239.666689,0.013436635
1240.4167,0.133728854,1240.4167,0.011289598,1240.4167,0.071591556,1239.750023,0.019184388
1240.5,0.073791601,1240.5,0.012420396,1240.5,0.083029287,1239.833356,0.005050182
1240.5834,0.082438287,1240.5834,0.015111906,1240.5834,0.097218692,1239.916689,3.01E-04
1240.6667,0.064260595,1240.6667,0.01723037,1240.6667,0.101158534,1240.000023,0
1240.75,0.014050864,1240.75,0.015466214,1240.75,0.085785804,1240.083356,0
1240.8334,3.93E-04,1240.8334,0.011390976,1240.8334,0.065118382,1240.166689,0
1240.9167,0,1240.9167,0.007439282,1240.9167,0.045056344,1240.250023,1.57E-06
1241,0,1241,0.004074207,1241,0.026723688,1240.333356,7.42E-07
1241.0834,0,1241.0834,0.002093205,1241.0834,0.013444378,1240.416689,1.12E-07
1241.1667,0,1241.1667,0.001590953,1241.1667,0.00668627,1240.500023,0
1241.25,0,1241.25,0.001728759,1241.25,0.003708585,1240.583356,0
1241.3334,0,1241.3334,0.002918322,1241.3334,0.003457956,1240.666689,0
1241.4167,0,1241.4167,0.003419887,1241.4167,0.00462433,1240.750023,0
1241.5,0,1241.5,0.004025237,1241.5,0.004942359,1240.833356,0
1241.5834,0,1241.5834,0.004773031,1241.5834,0.004845094,1240.916689,0
1241.6667,0,1241.6667,0.004556356,1241.6667,0.004406392,1241.000023,0
1241.75,0,1241.75,0.003779007,1241.75,0.002978895,1241.083356,0
1241.8334,0,1241.8334,0.00276299,1241.8334,0.001740682,1241.166689,0
1241.9167,0,1241.9167,0.00204097,1241.9167,0.001275343,1241.250023,0
1242,0,1242,0.001549371,1242,8.45E-04,1241.333356,0
1242.0834,0,1242.0834,0.001026843,1242.0834,2.91E-04,1241.416689,0
1242.1667,0,1242.1667,6.16E-04,1242.1667,1.63E-04,1241.500023,0
1242.25,0,1242.25,5.12E-04,1242.25,1.05E-04,1241.583356,0
1242.3334,0,1242.3334,4.13E-04,1242.3334,2.62E-05,1241.666689,0
1242.4167,0,1242.4167,4.03E-04,1242.4167,1.19E-04,1241.750023,0
1242.5,0,1242.5,5.67E-04,1242.5,2.18E-04,1241.833356,0
1242.5834,0,1242.5834,5.68E-04,1242.5834,4.33E-04,1241.916689,0
